rel_id,head,head_label,relation,tail,tail_label,description,doc_id,chunk_id
REL_000001,FaultPhenomenon_Burns,FaultPhenomenon,CAUSED_BY,FaultCause_Hot Fluid Or Surface,FaultCause,人员灼伤故障由接触热流体或表面导致,D8操作手册,D8操作手册::chunk_1;D8操作手册::chunk_2;D8操作手册::chunk_3;D8操作手册::chunk_4
REL_000002,FaultPhenomenon_Carbon Monoxide Poisoning,FaultPhenomenon,CAUSED_BY,FaultCause_Exhaust Wake Inhalation,FaultCause,一氧化碳中毒现象由船尾湍流吸入废气导致,D8操作手册,D8操作手册::chunk_7
REL_000003,FaultPhenomenon_Component Failure,FaultPhenomenon,CAUSED_BY,FaultCause_Component Contamination,FaultCause,组件故障现象由组件污染引起,D8操作手册,D8操作手册::chunk_7
REL_000004,FaultPhenomenon_Corrosion Danger,FaultPhenomenon,CAUSED_BY,FaultCause_High Corrosion Environment,FaultCause,腐蚀危险由高腐蚀环境导致,D8操作手册,D8操作手册::chunk_18
REL_000005,FaultPhenomenon_DPS Activation Failure,FaultPhenomenon,CAUSED_BY,FaultCause_DPS Antenna Fault,FaultCause,激活失败由天线故障导致,D8操作手册,D8操作手册::chunk_18
REL_000006,FaultPhenomenon_DPS Activation Failure,FaultPhenomenon,CAUSED_BY,FaultCause_GPS Signal Weakness,FaultCause,激活失败由 GPS 信号弱导致,D8操作手册,D8操作手册::chunk_18
REL_000007,FaultPhenomenon_DPS Activation Failure,FaultPhenomenon,CAUSED_BY,FaultCause_Joystick Not Neutral,FaultCause,激活失败由操纵杆未回空档导致,D8操作手册,D8操作手册::chunk_18
REL_000008,FaultPhenomenon_DPS Activation Failure,FaultPhenomenon,CAUSED_BY,FaultCause_Sliding Function Unavailable,FaultCause,激活失败由滑动功能不可用导致,D8操作手册,D8操作手册::chunk_18
REL_000009,FaultPhenomenon_DPS Activation Failure,FaultPhenomenon,CAUSED_BY,FaultCause_Vessel Speed Too High,FaultCause,激活失败由船速过高导致,D8操作手册,D8操作手册::chunk_18
REL_000010,FaultPhenomenon_DPS Activation Failure,FaultPhenomenon,DIAGNOSED_BY,DiagnosticMethod_Check GPS Antenna,DiagnosticMethod,激活失败故障可通过检查 GPS 天线诊断,D8操作手册,D8操作手册::chunk_18
REL_000011,FaultPhenomenon_Electronic Device Damage,FaultPhenomenon,CAUSED_BY,FaultCause_Disconnecting Switch While Running,FaultCause,电子装置损坏故障由运行时断开开关导致,D8操作手册,D8操作手册::chunk_1;D8操作手册::chunk_2;D8操作手册::chunk_3;D8操作手册::chunk_4
REL_000012,FaultPhenomenon_Electronic Device Damage,FaultPhenomenon,CAUSED_BY,FaultCause_Wrong Battery Polarity,FaultCause,电子设备损坏现象可由电池极性接反导致,D8操作手册,D8操作手册::chunk_5;D8操作手册::chunk_6
REL_000013,FaultPhenomenon_Emission Certificate Void,FaultPhenomenon,CAUSED_BY,FaultCause_Unauthorized Modification,FaultCause,擅自改装导致排放证书无效,D8操作手册,D8操作手册::chunk_10;D8操作手册::chunk_11;D8操作手册::chunk_8;D8操作手册::chunk_9
REL_000014,FaultPhenomenon_Engine Overspeed,FaultPhenomenon,CAUSED_BY,FaultCause_Wrong Fuel Quality,FaultCause,发动机超速故障由错误的燃料质量导致,D8操作手册,D8操作手册::chunk_1;D8操作手册::chunk_2;D8操作手册::chunk_3;D8操作手册::chunk_4
REL_000015,FaultPhenomenon_Engine Start Failure,FaultPhenomenon,CAUSED_BY,FaultCause_Cold Weather,FaultCause,发动机启动失败可由寒冷天气导致,D8操作手册,D8操作手册::chunk_20
REL_000016,FaultPhenomenon_Fire Or Explosion,FaultPhenomenon,CAUSED_BY,FaultCause_Spark Or Open Flame,FaultCause,火灾或爆炸事故由火花或明火引发,D8操作手册,D8操作手册::chunk_0
REL_000017,FaultPhenomenon_Fuel Or Oil Leak,FaultPhenomenon,DIAGNOSED_BY,DiagnosticMethod_Visual Inspection Before Start,DiagnosticMethod,泄漏故障可通过启动前目视检查进行诊断,D8操作手册,D8操作手册::chunk_0
REL_000018,FaultPhenomenon_Fuel Pipe Cracking,FaultPhenomenon,CAUSED_BY,FaultCause_Bending Fuel Pipes,FaultCause,管路开裂故障由违规弯曲高压油管引起,D8操作手册,D8操作手册::chunk_5;D8操作手册::chunk_6
REL_000019,FaultPhenomenon_High Fuel Consumption,FaultPhenomenon,CAUSED_BY,FaultCause_Wrong Oil Coolant Quality,FaultCause,错误油品质量导致油耗增加,D8操作手册,D8操作手册::chunk_10;D8操作手册::chunk_11;D8操作手册::chunk_8;D8操作手册::chunk_9
REL_000020,FaultPhenomenon_Mechanical Damage,FaultPhenomenon,CAUSED_BY,FaultCause_Cold Idling,FaultCause,冷态发动机空转会导致发动机部件机械损坏,D8操作手册,D8操作手册::chunk_21
