rel_id,head,head_label,relation,tail,tail_label,description,doc_id,chunk_id
REL_000001,375 现场手操器,Equipment,CONTROLS,Rosemount 3051S 无线压力变送器,Equipment,375 现场手操器通过有线连接对变送器进行组态控制,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_1
REL_000002,AMS 软件,Equipment,CONTROLS,Rosemount 3051S 无线压力变送器,Equipment,AMS 软件通过无线或直连方式对变送器进行组态控制,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_1
REL_000003,Rosemount 3051S 无线压力变送器,Equipment,CONNECTS_TO,375 现场手操器,Equipment,无线压力变送器可通过端线板通讯端子连接现场手操器,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_1
REL_000004,Rosemount 3051S 无线压力变送器,Equipment,CONNECTS_TO,WirelessHART 监测网络系统_Rosemount 304 一体化阀组,Equipment,变送器可连接 304 型阀组进行过程控制,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_7
REL_000005,Rosemount 3051S 无线压力变送器,Equipment,CONNECTS_TO,WirelessHART 监测网络系统_Rosemount 305 一体化阀组,Equipment,变送器可连接 305 型阀组进行过程控制,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_7
REL_000006,Rosemount 3051S 无线压力变送器,Equipment,CONNECTS_TO,WirelessHART 监测网络系统_Rosemount 306 一体化阀组,Equipment,变送器可连接 306 型阀组进行过程控制,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_7
REL_000007,Rosemount 3051S 无线压力变送器,Equipment,CONNECTS_TO,智能无线网关,Equipment,无线压力变送器通过无线网络物理连接至智能无线网关,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_1
REL_000008,Rosemount 3051S 无线压力变送器,Equipment,DIAGNOSED_BY,Rosemount 3051S 无线压力变送器_查看写保护设定,DiagnosticMethod,变送器写保护状态可通过该方法诊断,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_3
REL_000009,Rosemount 3051S 无线压力变送器,Equipment,DIAGNOSED_BY,Rosemount 3051S 无线压力变送器_查看连接状态,DiagnosticMethod,变送器连接问题可通过查看连接状态诊断,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_4
REL_000010,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_Coplanar 过程法兰,Component,变送器内部包含过程连接法兰,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_6
REL_000011,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_LCD 显示屏,Component,变送器主体包含 LCD 显示模块组件,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_3
REL_000012,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_RF 避雷器,Component,变送器射频链路需配置避雷器组件,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_11
REL_000013,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_SuperModule,Component,变送器内部包含核心传感模块,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_6
REL_000014,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_同轴电缆,Component,远程天线方案中变送器通过同轴电缆连接,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_11
REL_000015,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_外壳,Component,变送器包含可旋转的外壳组件,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_7
REL_000016,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_天线,Component,无线压力变送器包含天线组件用于无线通信,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_5
REL_000017,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_导压管,Component,变送器测量回路包含导压管组件,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_6
REL_000018,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_法兰适配器,Component,变送器包含用于过程连接的法兰适配器,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_7
REL_000019,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_电源模块,Component,无线压力变送器内部包含独立封装的电源模块组件,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_1
REL_000020,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_端线板,Component,变送器内部包含端线板作为电气连接组件,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_11
REL_000021,Rosemount 3051S 无线压力变送器,Equipment,HAS_COMPONENT,Rosemount 3051S 无线压力变送器_设备描述符,Component,无线压力变送器正常运行依赖正确的设备描述符软件模块,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_1
REL_000022,Rosemount 3051S 无线压力变送器,Equipment,HAS_FAULT,Rosemount 3051S 无线压力变送器_测量误差,FaultPhenomenon,变送器可能出现测量误差故障现象,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_6
REL_000023,Rosemount 3051S 无线压力变送器,Equipment,HAS_FAULT,Rosemount 3051S 无线压力变送器_设备未连入网络,FaultPhenomenon,无线压力变送器可能出现无法与主机系统通讯的故障,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_1
REL_000024,Rosemount 3051S 无线压力变送器,Equipment,HAS_FAULT,Rosemount 3051S 无线压力变送器_通讯连接失败,FaultPhenomenon,无线压力变送器可能出现通讯设备或 AMS 未能连接的故障,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_1
REL_000025,Rosemount 3051S 无线压力变送器,Equipment,HAS_FAULT,Rosemount 3051S 无线压力变送器_零点发生偏移,FaultPhenomenon,变送器可能出现零点发生偏移的故障现象,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_5
REL_000026,Rosemount 3051S 无线压力变送器,Equipment,HAS_PARAMETER,Rosemount 3051S 无线压力变送器_一级变量 PV,Parameter,变送器包含可配置的一级变量参数,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_4
REL_000027,Rosemount 3051S 无线压力变送器,Equipment,HAS_PARAMETER,Rosemount 3051S 无线压力变送器_三级变量 TV,Parameter,变送器包含可配置的三级变量参数,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_4
REL_000028,Rosemount 3051S 无线压力变送器,Equipment,HAS_PARAMETER,Rosemount 3051S 无线压力变送器_二级变量 SV,Parameter,变送器包含可配置的二级变量参数,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_4
REL_000029,Rosemount 3051S 无线压力变送器,Equipment,HAS_PARAMETER,Rosemount 3051S 无线压力变送器_传感器温度单位,Parameter,变送器核心监测参数包含传感器温度,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_2
REL_000030,Rosemount 3051S 无线压力变送器,Equipment,HAS_PARAMETER,Rosemount 3051S 无线压力变送器_低警示值,Parameter,变送器支持低警示值参数配置,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_3
REL_000031,Rosemount 3051S 无线压力变送器,Equipment,HAS_PARAMETER,Rosemount 3051S 无线压力变送器_供电电压,Parameter,变送器核心监测参数包含过程压力,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_2
REL_000032,Rosemount 3051S 无线压力变送器,Equipment,HAS_PARAMETER,Rosemount 3051S 无线压力变送器_写保护设定,Parameter,变送器具备写保护设定参数,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_3
REL_000033,Rosemount 3051S 无线压力变送器,Equipment,HAS_PARAMETER,Rosemount 3051S 无线压力变送器_变量映射模式,Parameter,变送器支持变量映射模式的配置参数,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_4
REL_000034,Rosemount 3051S 无线压力变送器,Equipment,HAS_PARAMETER,Rosemount 3051S 无线压力变送器_四级变量 QV,Parameter,变送器包含可配置的四级变量参数,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_4
REL_000035,Rosemount 3051S 无线压力变送器,Equipment,HAS_PARAMETER,Rosemount 3051S 无线压力变送器_导压管倾斜度要求,Parameter,变送器导压管安装需满足倾斜度参数,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064,参考手册-rosemount-3051s-无线系列产品-zh-cn-10755064::chunk_6
