entity_id,name,label,description,doc_id,chunk_id,all_labels,source
ENT_000001,Marine Engine System_Active Corrosion Protection,Component,主动防腐蚀保护系统，显示有关船只安装的信息,D8操作手册,D8操作手册::chunk_13,,D8操作手册.md
ENT_000002,Marine Engine System_Alarm Monitor,Component,针对激活警报发出目视警告的监测组件,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
ENT_000003,Marine Engine System_Alternator,Component,交流发电机，发动机运行时提供电力并受主开关保护；发动机配套的交流发电组件,D8操作手册,D8操作手册::chunk_1;D8操作手册::chunk_2;D8操作手册::chunk_28;D8操作手册::chunk_3;D8操作手册::chunk_4,,D8操作手册.md
ENT_000004,Marine Engine System_Auxiliary Stop Device,Component,安装在发动机背部的紧急停机硬件装置,D8操作手册,D8操作手册::chunk_22,,D8操作手册.md
ENT_000005,Marine Engine System_Battery,Component,发动机启动及供电核心模块，存在氢气爆炸风险；为发动机电气系统供电的独立电池组,D8操作手册,D8操作手册::chunk_0;D8操作手册::chunk_28,Component;Equipment,D8操作手册.md
ENT_000006,Marine Engine System_Battery Management Display,Component,电池管理系统的本地显示与设置界面模块,D8操作手册,D8操作手册::chunk_18,,D8操作手册.md
ENT_000007,Marine Engine System_Battery Management Unit,Component,执行电池管理逻辑与断路器控制的核心单元,D8操作手册,D8操作手册::chunk_18,,D8操作手册.md
ENT_000008,Marine Engine System_Battery Sensor,Component,电池传感器，用于监测电池状态并提供数据给电池视图,D8操作手册,D8操作手册::chunk_14,,D8操作手册.md
ENT_000009,Marine Engine System_Compass Unit,Component,自动操舵仪内的核心罗盘传感器模块，提供航向数据,D8操作手册,D8操作手册::chunk_15,,D8操作手册.md
ENT_000010,Marine Engine System_Component_Engine Type Plate,Component,发动机上的信息铭牌组件,D8操作手册,D8操作手册::chunk_31,,D8操作手册.md
ENT_000011,Marine Engine System_Component_Fuel Heater,Component,低温环境下使用高 FAME 燃料所需的加热模块,D8操作手册,D8操作手册::chunk_31,,D8操作手册.md
ENT_000012,Marine Engine System_Control Software,Component,控制发动机功能并可进行更新维护的软件模块,D8操作手册,D8操作手册::chunk_7,,D8操作手册.md
ENT_000013,Marine Engine System_Coolant Temperature Gauge,Component,显示发动机冷却剂温度的仪表组件,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
ENT_000014,Marine Engine System_Cooling System,Component,发动机冷却循环系统，包含海水龙头和安全阀等关键部件；发动机冷却系统，涉及冷却剂混合与循环；负责发动机温度控制与冷却液循环的整体系统；船舶发动机冷却系统整体,D8操作手册,D8操作手册::chunk_1;D8操作手册::chunk_10;D8操作手册::chunk_11;D8操作手册::chunk_2;D8操作手册::chunk_25;D8操作手册::chunk_3;D8操作手册::chunk_30;D8操作手册::chunk_4;D8操作手册::chunk_8;D8操作手册::chunk_9,Component;System,D8操作手册.md
ENT_000015,Marine Engine System_Cruise Control,Component,巡航控制模块，用于锁定和微调发动机转速,D8操作手册,D8操作手册::chunk_14,,D8操作手册.md
ENT_000016,Marine Engine System_Docking Mode,Component,操纵杆内的停靠模式软件组件，限制发动机转数并控制船方向；操纵杆系统内的入坞模式功能模块,D8操作手册,D8操作手册::chunk_15;D8操作手册::chunk_30,,D8操作手册.md
ENT_000017,Marine Engine System_Drive Belt,Component,发动机传动皮带，配有自动张紧装置，需定期检查状况,D8操作手册,D8操作手册::chunk_24,,D8操作手册.md
ENT_000018,Marine Engine System_Drive Belt Guard,Component,覆盖传动皮带的安全防护罩,D8操作手册,D8操作手册::chunk_25,,D8操作手册.md
ENT_000019,Marine Engine System_Drive Device,Component,驱动装置，受动力升降系统控制以调整船舶纵倾,D8操作手册,D8操作手册::chunk_14,,D8操作手册.md
ENT_000020,Marine Engine System_Easy Connect,Component,蓝牙连接模块，用于船只与移动设备数据交互的核心组件,D8操作手册,D8操作手册::chunk_19,,D8操作手册.md
ENT_000021,Marine Engine System_Echo Sounder,Component,回声探测器，用于设置深度警报和显示船下深度；用于探测水深并提供深度警报的核心传感器模块,D8操作手册,D8操作手册::chunk_13;D8操作手册::chunk_29,,D8操作手册.md
ENT_000022,Marine Engine System_Electrical System,Component,发动机电气控制子系统，需使用原厂备件以防火灾；电气系统，包含电池传感器等电气组件,D8操作手册,D8操作手册::chunk_0;D8操作手册::chunk_14,,D8操作手册.md
ENT_000023,Marine Engine System_Engine Control Module,Component,发动机核心控制单元，负责监测和控制发动机运行参数；发动机控制模块计算机，记录发动机数据与位置信息；负责监控发动机参数并执行安全逻辑的核心控制模块,D8操作手册,D8操作手册::chunk_1;D8操作手册::chunk_10;D8操作手册::chunk_11;D8操作手册::chunk_2;D8操作手册::chunk_21;D8操作手册::chunk_3;D8操作手册::chunk_4;D8操作手册::chunk_8;D8操作手册::chunk_9,,D8操作手册.md
ENT_000024,Marine Engine System_Engine Heater,Component,发动机加热器，低温环境下减少冷启动烟雾的辅助组件,D8操作手册,D8操作手册::chunk_19,,D8操作手册.md
ENT_000025,Marine Engine System_Exhaust System,Component,发动机排气及涡轮增压组件，包含高温表面风险,D8操作手册,D8操作手册::chunk_0,,D8操作手册.md
ENT_000026,Marine Engine System_Fresh Water Level Sensor,Component,显示淡水箱中淡水水位的传感器组件,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
ENT_000027,Marine Engine System_Fuel Filter,Component,燃油系统中的核心过滤组件，用于拦截杂质,D8操作手册,D8操作手册::chunk_25,,D8操作手册.md
ENT_000028,Marine Engine System_Fuel Level Gauge,Component,显示剩余燃油液位的仪表组件,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
ENT_000029,Marine Engine System_Fuel Level Sensor,Component,安装在燃油箱内用于检测燃油液位的传感组件,D8操作手册,D8操作手册::chunk_29,,D8操作手册.md
ENT_000030,Marine Engine System_Fuel Pressure Gauge,Component,安装在过滤器上用于指示压降的压力表,D8操作手册,D8操作手册::chunk_25,,D8操作手册.md
ENT_000031,Marine Engine System_Fuel System,Component,发动机燃油供给子系统，涉及易燃液体泄漏风险；发动机燃油供给系统，包含喷射泵与喷油器等核心模块；负责燃油供给、过滤与喷射的整体系统,D8操作手册,D8操作手册::chunk_0;D8操作手册::chunk_10;D8操作手册::chunk_11;D8操作手册::chunk_25;D8操作手册::chunk_8;D8操作手册::chunk_9,Component;System,D8操作手册.md
ENT_000032,Marine Engine System_GPS Receiver,Component,为动态定位系统提供位置信号的 GPS 接收模块,D8操作手册,D8操作手册::chunk_17,,D8操作手册.md
ENT_000033,Marine Engine System_Impeller,Component,海水泵内的核心旋转叶轮部件,D8操作手册,D8操作手册::chunk_28,,D8操作手册.md
ENT_000034,Marine Engine System_Injection Pump,Component,燃油喷射泵，燃油系统核心高压供给模块,D8操作手册,D8操作手册::chunk_10;D8操作手册::chunk_11;D8操作手册::chunk_8;D8操作手册::chunk_9,,D8操作手册.md
ENT_000035,Marine Engine System_Injector,Component,喷油器，燃油系统核心喷射执行部件,D8操作手册,D8操作手册::chunk_10;D8操作手册::chunk_11;D8操作手册::chunk_8;D8操作手册::chunk_9,,D8操作手册.md
ENT_000036,Marine Engine System_Joystick Driving Module,Component,操纵杆驾驶控制逻辑模块，集成转向、节气门和换档控制,D8操作手册,D8操作手册::chunk_16,,D8操作手册.md
ENT_000037,Marine Engine System_Joystick Steering Module,Component,操纵杆转向控制逻辑模块，处理航向调整和转向指令,D8操作手册,D8操作手册::chunk_16,,D8操作手册.md
ENT_000038,Marine Engine System_Low Speed Module,Component,低速功能控制模块，用于液压传动装置发动机的转速与螺旋桨转速解耦,D8操作手册,D8操作手册::chunk_15,,D8操作手册.md
ENT_000039,Marine Engine System_Lubrication System,Component,发动机润滑系统，涉及热油压力管理和加油口盖操作；发动机润滑系统，涉及机油粘度与油位监控；负责发动机机油循环与润滑的整体系统；船舶发动机润滑系统整体,D8操作手册,D8操作手册::chunk_1;D8操作手册::chunk_10;D8操作手册::chunk_11;D8操作手册::chunk_2;D8操作手册::chunk_25;D8操作手册::chunk_3;D8操作手册::chunk_30;D8操作手册::chunk_4;D8操作手册::chunk_8;D8操作手册::chunk_9,Component;System,D8操作手册.md
ENT_000040,Marine Engine System_Oil Level Sensor,Component,监测润滑系统机油液位的电子传感器,D8操作手册,D8操作手册::chunk_25,,D8操作手册.md
ENT_000041,Marine Engine System_Oil Pressure Gauge,Component,显示发动机机油压力的仪表组件,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
ENT_000042,Marine Engine System_Power Take-Off,Component,功率输出端模块，用于将发动机动力从推进装置断开的功能单元,D8操作手册,D8操作手册::chunk_19,,D8操作手册.md
ENT_000043,Marine Engine System_Power Trim Assist,Component,动力升降辅助装置，根据发动机转速自动调整纵倾角,D8操作手册,D8操作手册::chunk_14,,D8操作手册.md
ENT_000044,Marine Engine System_Propeller Shaft Brake,Component,推进轴制动器，用于发动机停止时锁止螺旋桨轴的核心模块,D8操作手册,D8操作手册::chunk_19,,D8操作手册.md
ENT_000045,Marine Engine System_Rudder Position Indicator,Component,显示舵位置的仪表组件,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
ENT_000046,Marine Engine System_Safety Lanyard,Component,用于在船长失去控制时停止发动机的安全装置,D8操作手册,D8操作手册::chunk_7,,D8操作手册.md
ENT_000047,Marine Engine System_Starter Motor,Component,发动机起动马达，负责驱动发动机曲轴旋转,D8操作手册,D8操作手册::chunk_20,,D8操作手册.md
ENT_000048,Marine Engine System_Swimming Platform Interface,Component,游泳跳台接口模块，防止跳台与驱动装置碰撞的控制单元,D8操作手册,D8操作手册::chunk_19,,D8操作手册.md
ENT_000049,Marine Engine System_Tachometer,Component,显示发动机转速和发动机时数的仪表组件,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
ENT_000050,Marine Engine System_Trip Computer,Component,集成在显示器内计算燃油经济性和行程数据的逻辑模块；行程计算机，显示船只的行程计算机数据和燃油经济性,D8操作手册,D8操作手册::chunk_12;D8操作手册::chunk_13,,D8操作手册.md
ENT_000051,Marine Engine System_Turbocharger,Component,涡轮增压器组件，包含高速旋转的压缩机涡轮,D8操作手册,D8操作手册::chunk_1;D8操作手册::chunk_2;D8操作手册::chunk_3;D8操作手册::chunk_4,,D8操作手册.md
ENT_000052,Marine Engine System_Voltmeter,Component,显示交流发电机充电电流和电池电压的仪表组件,D8操作手册,D8操作手册::chunk_12,,D8操作手册.md
ENT_000053,Marine Engine System_Warning Management Program,Component,存储故障消息并建议校正措施的软件模块；警告管理程序，存储故障并显示受影响的传动系统和建议操作；警告管理程序，存储故障信息并建议操作,D8操作手册,D8操作手册::chunk_12;D8操作手册::chunk_13;D8操作手册::chunk_14,,D8操作手册.md
ENT_000054,Marine Engine System_Water Separator,Component,燃油系统中用于分离水分的独立模块,D8操作手册,D8操作手册::chunk_25,,D8操作手册.md
ENT_000055,Volvo Penta Engine_Cooling System_Charge Air Cooler,Component,增压空气冷却器，需检查冷却液泄漏,D8维护保养手册,D8维护保养手册::chunk_10;D8维护保养手册::chunk_11,,D8维护保养手册.md
ENT_000056,Volvo Penta Engine_Cooling System_Coolant Pump,Component,冷却系统核心模块，负责发动机内部冷却液循环,D8维护保养手册,D8维护保养手册::chunk_4;D8维护保养手册::chunk_5,,D8维护保养手册.md
